Player,Age,Team,Position,Games,Games Started,Avg minutes played,Avg field goal,Avg field goal attempts,Field goal percentage,avg three points made,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Luka Dončić,26,LAL,PG,28,28,36.5,10.4,22.4,0.463,3.3,10.4,0.316,7.1,12,0.591,0.537,9.6,12.1,0.791,0.8,7.2,8,8.8,1.6,0.6,4.6,2.5,33.7
Cade Cunningham,24,DET,PG,33,33,35.6,9.3,19.9,0.465,2.1,6.1,0.34,7.2,13.9,0.52,0.517,6.1,7.3,0.838,1.1,5.1,6.2,9.7,1.5,0.8,4,3.4,26.7
Deni Avdija,25,POR,SF,38,38,35.3,8,17,0.471,2.3,6.5,0.359,5.7,10.5,0.54,0.539,7.9,9.9,0.796,1,6.2,7.2,7,0.8,0.6,3.8,2.8,26.3
Jaylen Brown,29,BOS,SF,34,34,33.9,11,22,0.501,2.1,5.8,0.372,8.9,16.2,0.546,0.55,5.6,7.2,0.771,1.2,5.1,6.4,4.9,1.1,0.4,3.7,3.1,29.7
Stephon Castle,21,SAS,PG,28,28,30.8,6.1,12.6,0.482,1,3.9,0.269,5,8.8,0.576,0.523,4.5,6.1,0.737,1.1,4,5.1,6.9,1.3,0.3,3.7,3.6,17.7
Keyonte George,22,UTA,PG,35,35,34.6,7.6,16.9,0.45,2.6,7.1,0.372,5,9.8,0.506,0.528,6.5,7.1,0.904,0.5,3.8,4.3,6.9,0.9,0.3,3.6,2.6,24.3
Josh Giddey,23,CHI,PG,30,30,32.8,6.7,14.3,0.466,1.9,4.8,0.386,4.8,9.5,0.507,0.531,4,5.3,0.761,1.2,7.8,8.9,9,0.9,0.4,3.6,1.8,19.2
Jalen Johnson,24,ATL,SF,35,35,35.5,8.7,16.8,0.52,1.6,4.4,0.355,7.2,12.4,0.58,0.567,4.5,5.6,0.797,1.5,8.8,10.3,8.3,1.3,0.5,3.6,2,23.5
Ja Morant,26,MEM,PG,18,18,28.3,6.6,16.3,0.401,0.9,4.3,0.208,5.7,12.1,0.47,0.429,5,5.6,0.9,0.4,2.8,3.2,7.6,1,0.2,3.6,1.9,19
James Harden,36,LAC,PG,33,33,35.5,7.4,17.1,0.431,3.3,9.1,0.363,4.1,8,0.508,0.527,7.6,8.5,0.89,0.6,4.2,4.8,8,1.2,0.3,3.5,2,25.6
Nikola Jokić,30,DEN,C,32,32,34.6,10.6,17.5,0.605,2.1,4.8,0.435,8.5,12.7,0.67,0.665,6.3,7.4,0.853,3,9.1,12.2,11,1.4,0.8,3.5,2.8,29.6
LaMelo Ball,24,CHO,PG,27,27,28,6.8,16.6,0.408,3.2,8.7,0.364,3.6,7.9,0.458,0.504,2.8,3.2,0.872,1,4.1,5.1,7.9,1.2,0.2,3.4,2.8,19.5
Devin Booker,29,PHO,SG,34,34,34,8.4,18.2,0.461,1.6,5.5,0.296,6.8,12.7,0.532,0.506,7,8.2,0.853,0.8,3.1,4,6.3,0.9,0.4,3.4,2.7,25.4
Kevin Porter Jr.,25,MIL,PG,18,18,34.2,6.4,13.6,0.471,1.9,4.9,0.382,4.5,8.6,0.523,0.541,3.8,4.4,0.861,0.7,4.4,5.1,7.8,2.2,0.3,3.3,2.2,18.4
Austin Reaves,27,LAL,SG,23,22,35.3,8.2,16.2,0.507,2.7,7.4,0.365,5.5,8.8,0.626,0.59,7.5,8.6,0.873,0.7,4.5,5.2,6.3,1,0.2,3.3,2.3,26.6
Alperen Şengün,23,HOU,C,28,28,34.3,8.3,16.3,0.512,0.7,2.3,0.317,7.6,14,0.543,0.534,4.4,6,0.734,2.9,6,9,6.5,1.5,1,3.3,3.3,21.8
Russell Westbrook,37,SAC,SF,37,31,29.1,5.3,12.8,0.416,1.9,5.5,0.337,3.5,7.2,0.478,0.489,2,3,0.682,1.6,5,6.6,6.8,1.4,0.2,3.3,2.6,14.5
Giannis Antetokounmpo,31,MIL,PF,23,23,29,11.3,17.5,0.645,0.6,1.4,0.406,10.7,16.1,0.666,0.661,6.3,9.7,0.655,3.1,6.9,10,5.5,0.8,0.7,3.2,2.7,29.5
Walker Kessler,24,UTA,C,5,5,30.8,5.2,7.4,0.703,1.2,1.6,0.75,4,5.8,0.69,0.784,2.8,4,0.7,4.6,6.2,10.8,3,1.4,1.8,3.2,4.4,14.4
Victor Wembanyama,22,SAS,C,23,15,29.2,8.5,16.3,0.521,1.5,4.1,0.362,7,12.3,0.574,0.566,5.7,6.8,0.834,1.9,9.6,11.5,3.3,0.9,2.9,3.2,2.9,24.2
Kevin Durant,37,HOU,SF,32,32,36.2,9.2,17.6,0.52,2.1,5.2,0.401,7.1,12.4,0.571,0.58,5.7,6.3,0.892,0.3,4.8,5.1,4.4,0.7,1,3.1,2.2,26.1
Kyshawn George,22,WAS,SF,27,27,31.9,5.4,11.7,0.467,2.2,5.4,0.408,3.2,6.2,0.518,0.562,1.9,2.6,0.739,0.9,4.8,5.7,5.1,1,0.9,3.1,4.2,15
Donovan Mitchell,29,CLE,SG,34,34,33.8,10.4,21,0.497,3.9,10.1,0.388,6.5,10.9,0.597,0.59,5,6,0.837,0.9,3.8,4.7,5.4,1.5,0.3,3.1,2.6,29.8
Shaedon Sharpe,22,POR,SG,34,28,29.6,8.1,17.9,0.449,2,5.9,0.337,6.1,12,0.505,0.505,3.4,4.4,0.773,1.2,3.1,4.3,2.5,1.5,0.1,3,2.1,21.5
Coby White,25,CHI,SG,17,14,27.9,5.8,13.2,0.44,2.1,6.6,0.319,3.7,6.6,0.563,0.52,4.6,5.8,0.796,0.3,3.1,3.4,4.6,0.6,0,3,2.2,18.4
Stephen Curry,37,GSW,PG,28,28,32.2,9.4,20,0.468,4.7,12.1,0.391,4.6,7.9,0.586,0.586,5.4,5.8,0.926,0.5,3.5,4,4.5,1.2,0.4,2.9,2.1,28.8
Darius Garland,26,CLE,PG,22,22,30.5,6.3,14.5,0.434,2.2,6.4,0.348,4,8,0.503,0.511,2.8,3.1,0.897,0.5,2.1,2.6,6.9,0.7,0.1,2.9,1.9,17.5
Jrue Holiday,35,POR,PG,12,12,33.4,6.2,13.8,0.446,2.6,7.1,0.365,3.6,6.8,0.531,0.539,1.8,2.1,0.84,1.3,3.9,5.3,8.3,1.6,0.3,2.9,2,16.7
Paolo Banchero,23,ORL,PF,28,28,33.4,7.1,15.5,0.459,1,3.6,0.265,6.1,11.9,0.518,0.49,5.9,7.9,0.747,0.9,7.7,8.6,4.7,0.6,0.7,2.8,2.2,21.1
Anthony Edwards,24,MIN,SG,30,30,34.7,10,19.8,0.504,3.4,8.3,0.407,6.6,11.5,0.574,0.589,6,7.5,0.801,0.6,4.4,5,3.6,1.4,0.8,2.8,1.8,29.3
Draymond Green,35,GSW,PF,31,31,27,3.1,7.4,0.422,1.5,4.4,0.328,1.7,3,0.559,0.52,0.9,1.4,0.667,0.7,5,5.8,5.4,0.9,0.7,2.8,3.2,8.6
Brandon Ingram,28,TOR,SF,38,38,33.7,8.2,17.2,0.474,1.7,5,0.349,6.4,12.2,0.525,0.524,3.7,4.6,0.821,0.8,5.1,5.9,3.6,0.8,0.8,2.8,1.9,21.8
Joel Embiid,31,PHI,C,18,18,29.1,8.1,17.1,0.472,1,4.1,0.243,7.1,12.9,0.545,0.502,6.5,7.8,0.836,1.9,5,6.9,3.3,0.6,1.3,2.7,2.4,23.6
Jalen Suggs,24,ORL,PG,23,23,25.4,5.3,11.2,0.471,1.9,5.8,0.331,3.3,5.4,0.621,0.556,2.6,3,0.857,0.7,2.9,3.7,4.7,1.9,0.5,2.7,3,15
Scottie Barnes,24,TOR,PF,38,38,34,7.5,14.8,0.504,1.1,3.3,0.347,6.3,11.6,0.549,0.543,3,3.6,0.837,2.2,6.2,8.4,5.2,1.3,1.5,2.6,2.8,19.1
Tyrese Maxey,25,PHI,PG,33,33,39.6,10.7,22.5,0.477,3.8,9.3,0.405,7,13.2,0.528,0.561,5.5,6.3,0.871,0.2,4.4,4.6,7.1,1.8,0.9,2.6,2.2,30.7
Trae Young,27,ATL,PG,10,10,28,5.6,13.5,0.415,1.8,5.9,0.305,3.8,7.6,0.5,0.481,6.3,7.3,0.863,0,1.5,1.5,8.9,1,0.1,2.6,2,19.3
De'Aaron Fox,28,SAS,PG,28,28,32.4,7.6,16.3,0.467,2.1,6.2,0.341,5.5,10.1,0.544,0.532,3.7,4.6,0.805,0.8,3,3.9,5.9,1.4,0.3,2.5,2.3,21
LeBron James,41,LAL,SF,18,18,33.3,8,15.6,0.512,1.6,5,0.322,6.4,10.6,0.602,0.564,4.1,5.8,0.712,0.6,4.8,5.4,6.8,1,0.6,2.5,1.6,21.7
Brandon Miller,23,CHO,SF,20,20,30.6,7,17.2,0.405,3,8.2,0.36,4,9,0.447,0.491,3.3,3.9,0.844,1.2,3.1,4.3,3.3,1,1.1,2.5,2.9,20.1
Jusuf Nurkić,31,UTA,C,31,26,25.8,4.2,8.2,0.508,0.5,1.6,0.347,3.6,6.6,0.546,0.541,1.5,2.8,0.545,2.7,7,9.8,4.4,1.4,0.4,2.5,3.3,10.4
Michael Porter Jr.,27,BRK,SF,28,28,33.1,9.3,18.7,0.495,3.9,9.4,0.411,5.4,9.3,0.581,0.598,3.8,4.6,0.828,1.3,6.2,7.5,3.3,1,0.2,2.5,2.2,26.1
Julius Randle,31,MIN,PF,37,37,33.4,7.6,15.5,0.49,1.6,4.7,0.335,6.1,10.9,0.557,0.541,5.3,6.5,0.813,1.7,5.4,7.1,5.7,1.1,0.2,2.5,2.6,22.1
Domantas Sabonis,29,SAC,C,11,11,33.2,6.7,13.2,0.51,0.4,1.8,0.2,6.4,11.4,0.56,0.524,3.4,4.6,0.725,3.4,8.9,12.3,3.7,1.2,0.2,2.5,4,17.2
Amen Thompson,23,HOU,PG,34,34,36.7,7.1,13.9,0.513,0.4,2.1,0.2,6.7,11.8,0.567,0.528,3.5,4.4,0.8,2.8,4.7,7.5,5.3,1.3,0.6,2.5,2.4,18.2
Karl-Anthony Towns,30,NYK,C,34,34,32.4,6.8,14.6,0.466,1.7,4.8,0.348,5.1,9.8,0.524,0.523,6.1,7,0.874,2.9,8.5,11.4,3,0.9,0.6,2.5,3.5,21.4
Zion Williamson,25,NOP,PF,23,16,28.8,8.1,14.4,0.562,0,0.1,0,8.1,14.3,0.567,0.562,6.3,8.7,0.724,2.5,3.3,5.9,3.4,1.1,0.6,2.5,2.2,22.4
Zach Edey,23,MEM,C,11,11,25.8,5.6,8.9,0.633,0.1,0.5,0.2,5.5,8.5,0.656,0.638,2.3,2.9,0.781,3.9,7.2,11.1,1.1,0.6,1.9,2.4,3.4,13.6
Jeremiah Fears,19,NOP,PG,39,37,26.6,5.4,12.4,0.433,1,3.2,0.323,4.4,9.3,0.471,0.474,2.4,3.1,0.785,0.7,2.8,3.6,3.1,1.2,0.2,2.4,1.8,14.2
Kon Knueppel,20,CHO,SF,36,35,32.9,6.6,14,0.474,3.6,8.4,0.429,3,5.6,0.542,0.603,2.4,2.8,0.879,1,4.2,5.2,3.5,0.6,0.2,2.4,2.4,19.3
Jonathan Kuminga,23,GSW,PF,18,13,24.8,4.3,10.1,0.431,0.9,2.8,0.32,3.4,7.3,0.473,0.475,2.2,3,0.741,1.6,4.6,6.2,2.6,0.3,0.3,2.4,1.7,11.8
Bennedict Mathurin,23,IND,SF,24,24,32.2,5.6,13.2,0.423,2.2,6,0.366,3.4,7.2,0.471,0.506,4.4,5,0.876,0.8,4.7,5.5,2.2,0.7,0.2,2.4,2.9,17.8
Derik Queen,21,NOP,C,38,26,25.9,4.9,10,0.495,0.2,1,0.189,4.8,9,0.528,0.504,2.8,3.6,0.774,1.6,5.7,7.2,4.1,1.1,0.9,2.4,3.1,12.9
Ryan Rollins,23,MIL,PG,37,32,31.8,6.6,13.6,0.482,2.4,5.8,0.421,4.1,7.8,0.528,0.571,1.6,2.1,0.769,0.7,3.6,4.4,5.7,1.6,0.4,2.4,2.9,17.2
Anthony Black,22,ORL,PG,38,18,29.9,5.6,12.3,0.453,1.5,4.4,0.337,4.1,7.9,0.517,0.513,2.7,3.8,0.715,0.8,3.3,4.1,3.8,1.3,0.7,2.3,2.8,15.3
Jalen Brunson,29,NYK,PG,34,34,35.2,10.3,21.5,0.48,3,7.8,0.387,7.3,13.7,0.532,0.55,5.4,6.4,0.847,0.6,2.7,3.3,6.3,0.7,0.1,2.3,2.5,29.1
Isaiah Collier,21,UTA,PG,28,2,23,3,5.8,0.512,0.4,1.2,0.353,2.5,4.6,0.555,0.549,2,3.1,0.663,0.3,2.1,2.4,6.6,0.7,0.4,2.3,2.3,8.4
Jalen Duren,22,DET,C,31,31,28.4,7,11,0.633,0,0,,7,11,0.633,0.633,4,5.5,0.724,4.1,6.5,10.6,1.7,0.9,0.9,2.3,3.2,17.9
Jamal Murray,28,DEN,PG,35,35,35.5,9,18.8,0.479,3.4,7.7,0.443,5.6,11.1,0.504,0.57,3.9,4.4,0.889,0.5,4.2,4.7,7.5,1,0.3,2.3,1.5,25.3
Andrew Nembhard,26,IND,PG,29,29,31.8,6,13.8,0.438,1.8,5,0.354,4.3,8.8,0.484,0.501,3.4,4.2,0.805,0.3,2.1,2.4,7,0.9,0.1,2.3,2.4,17.2
Collin Sexton,27,CHO,SG,29,11,24.3,5.1,10.6,0.48,1.3,3.3,0.392,3.8,7.2,0.522,0.542,3.9,4.4,0.875,0.5,1.6,2,4.1,0.8,0.2,2.3,1.9,15.3
Desmond Bane,27,ORL,SG,38,38,33.7,6.9,15.3,0.45,1.7,5,0.346,5.1,10.2,0.501,0.507,3.4,3.7,0.922,1.2,3.3,4.5,4.5,0.8,0.5,2.2,3.1,18.9
Bub Carrington,20,WAS,PG,36,12,27.2,3.3,8.2,0.401,2,4.6,0.425,1.3,3.5,0.37,0.522,1,1.4,0.714,0.4,3.4,3.8,4.4,0.5,0.2,2.2,2.4,9.5
Dyson Daniels,22,ATL,SG,38,38,34.2,5.2,10.4,0.495,0.2,1.6,0.117,5,8.8,0.563,0.504,1.2,2,0.627,2.2,4.3,6.5,6.1,1.9,0.5,2.2,2.2,11.7
Cooper Flagg,19,DAL,SF,36,36,34.6,7.2,15.1,0.478,0.9,3.4,0.276,6.3,11.7,0.537,0.509,3.6,4.4,0.815,1.2,5.3,6.5,4.2,1.2,0.8,2.2,2.3,18.9
Jerami Grant,31,POR,PF,26,14,30.3,6,13.8,0.436,2.5,6.4,0.389,3.5,7.3,0.476,0.527,5.5,6.3,0.866,1.2,2.9,4,2.7,0.7,0.6,2.2,3,20
Quentin Grimes,25,PHI,SG,33,7,32.4,4.7,10.7,0.438,2.3,6.2,0.364,2.4,4.5,0.541,0.544,3.1,3.5,0.871,0.6,3.2,3.8,4,1,0.5,2.2,1.9,14.7
Jaren Jackson Jr.,26,MEM,C,35,35,30.4,6.9,14.4,0.479,1.7,4.6,0.366,5.2,9.8,0.532,0.538,3,4,0.745,0.9,4.7,5.6,1.9,0.9,1.5,2.2,3.8,18.5
Kawhi Leonard,34,LAC,SF,26,26,34.3,9.8,19.9,0.492,2.6,7.1,0.364,7.2,12.8,0.563,0.557,5.8,6,0.955,1,5.5,6.4,3.5,2.2,0.7,2.2,1.5,28
Evan Mobley,24,CLE,PF,32,30,33,6.7,13.4,0.5,1.3,3.8,0.328,5.4,9.6,0.569,0.547,3.2,4.9,0.646,2.5,6.4,8.8,4,0.9,1.8,2.2,2.5,17.8
P.J. Washington,27,DAL,PF,30,30,31.4,5.5,12,0.46,1.3,4.2,0.317,4.2,7.8,0.536,0.515,2.3,3.4,0.693,1.4,6,7.4,1.9,1,1.4,2.2,2.3,14.7
Nickeil Alexander-Walker,27,ATL,SG,37,30,32.9,7,15.8,0.444,3,7.9,0.374,4.1,7.9,0.514,0.538,3.4,4,0.857,0.6,2.8,3.5,3.3,1,0.6,2.1,2.1,20.4
OG Anunoby,28,NYK,PF,27,27,32.4,5.3,11.6,0.455,2,5.7,0.353,3.3,6,0.553,0.541,2.7,3.3,0.82,1.3,4.1,5.4,2,1.8,0.7,2.1,2.6,15.3
Toumani Camara,25,POR,PF,38,38,33.6,4.5,10.8,0.417,2.6,7.3,0.349,2,3.5,0.56,0.535,1.2,1.8,0.681,1.9,3.3,5.2,2.8,1.1,0.4,2.1,3.4,12.8
Anthony Davis,32,DAL,PF,19,19,31.1,8.4,16.5,0.506,0.5,1.8,0.286,7.8,14.7,0.534,0.522,3.1,4.2,0.725,3.2,7.9,11.1,2.7,1.1,1.7,2.1,2.2,20.3
Josh Hart,30,NYK,SF,28,14,30.3,4.6,9.3,0.498,1.6,4,0.389,3,5.2,0.582,0.583,1.5,1.8,0.837,1.8,6.3,8,5.1,1.4,0.3,2.1,2.5,12.3
Isaiah Hartenstein,27,OKC,C,24,24,26.9,4.8,7.5,0.644,0,0.2,0,4.8,7.3,0.659,0.644,1.5,2.4,0.649,3.4,7,10.4,3,1.1,0.8,2.1,2.9,11.2
Jaime Jaquez Jr.,24,MIA,SF,34,1,29.1,6.6,12.3,0.533,0.4,1.6,0.268,6.1,10.6,0.575,0.551,2.6,3.5,0.748,1.2,4,5.3,4.7,0.8,0.2,2.1,2,16.2
Zach LaVine,30,SAC,SG,25,24,33.1,7.2,14.8,0.484,2.6,6.8,0.386,4.5,8,0.568,0.573,3.2,3.6,0.879,0.2,2.8,3,2.4,0.8,0.2,2.1,2.1,20.2
Vince Williams Jr.,25,MEM,PG,23,11,21.9,2.7,7.5,0.353,1.3,4.3,0.3,1.3,3.2,0.425,0.439,1.1,1.3,0.806,0.8,3.5,4.3,4.9,0.8,0.5,2.1,2.1,7.7
Dillon Brooks,30,PHO,SF,31,31,30.8,7.9,17.2,0.457,2.4,7.1,0.342,5.5,10.2,0.537,0.527,3,3.6,0.838,0.7,2.6,3.3,1.7,1.2,0.1,2,3.4,21.2
Hunter Dickinson,25,NOP,C,1,0,5,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,0,0,0,0,0,1,2,2,2
Dennis Schröder,32,SAC,PG,30,12,27.5,4.4,10.8,0.409,1.5,4.3,0.344,3,6.6,0.452,0.477,2.6,3.2,0.811,0.5,2.8,3.3,5.8,0.8,0.2,2,1.7,12.9
Pascal Siakam,31,IND,PF,36,36,33.9,8.8,18.2,0.483,1.7,4.6,0.37,7.1,13.6,0.521,0.53,4.5,6.6,0.682,1.6,5,6.6,3.8,1.3,0.4,2,2.6,23.7
Cam Thomas,24,BRK,SG,13,8,25.7,6.4,14.8,0.43,1.9,5.5,0.352,4.5,9.4,0.475,0.495,5.5,6.4,0.855,0.4,1.5,1.8,2.5,0.3,0.2,2,1.5,20.2
Obi Toppin,27,IND,PF,3,0,27.3,5,12,0.417,1,5.7,0.176,4,6.3,0.632,0.458,3,3,1,1,5.7,6.7,1.7,1,0,2,2.3,14
Jalen Williams,24,OKC,SG,19,19,30.1,6.6,14.4,0.46,0.8,2.8,0.302,5.8,11.6,0.498,0.489,3.1,3.6,0.853,0.8,4.3,5.1,5.5,1.4,0.4,2,2.3,17.2
Bam Adebayo,28,MIA,C,29,29,31,6.2,13.7,0.451,1.3,4,0.325,4.9,9.7,0.504,0.499,3.2,4.2,0.764,1.7,7.9,9.6,2.6,1,0.8,1.9,1.7,16.9
Grayson Allen,30,PHO,SG,20,18,30.1,5.4,12.6,0.426,3.2,8.1,0.389,2.2,4.5,0.494,0.552,1.8,2.3,0.8,0.5,2.2,2.6,4.1,1.7,0.3,1.9,2.4,15.7
Cole Anthony,25,MIL,PG,27,0,15,2.7,6.4,0.428,0.6,1.9,0.288,2.2,4.5,0.488,0.471,0.5,0.8,0.591,0.4,2.1,2.6,3.7,0.6,0.3,1.9,2.1,6.5
Egor Dёmin,19,BRK,PG,31,24,24.6,3.5,8.9,0.396,2.3,6.1,0.383,1.2,2.8,0.425,0.527,0.8,1,0.839,0.5,2.9,3.4,3.5,0.9,0.3,1.9,1.9,10.2
Shai Gilgeous-Alexander,27,OKC,PG,37,37,33.3,10.9,19.9,0.548,2,5,0.398,8.9,14.9,0.598,0.598,8.2,9.2,0.891,0.4,4,4.5,6.4,1.4,0.7,1.9,2,31.9
Nikola Jović,22,MIA,PF,26,1,20.1,3,7.7,0.387,1.2,4,0.298,1.8,3.7,0.484,0.465,1.9,2.5,0.781,0.5,3.4,4,3.1,0.7,0.4,1.9,1.9,9
Trey Murphy III,25,NOP,SF,35,35,35.6,7.5,15.1,0.495,2.9,7.6,0.382,4.6,7.5,0.611,0.592,3.4,3.7,0.908,1.2,4.9,6.1,3.5,1.5,0.2,1.9,2.1,21.3
Jordan Poole,26,NOP,PG,20,6,27.8,4.9,13.3,0.365,2.6,8.4,0.31,2.3,4.9,0.459,0.462,3.8,4.1,0.915,0.3,1.5,1.8,3.6,0.8,0.5,1.9,2.6,16.1
Norman Powell,32,MIA,SG,32,32,31,8.1,16.5,0.49,3.1,7.3,0.423,5,9.2,0.542,0.583,5,5.8,0.861,0.4,3.4,3.8,2.7,1.3,0.2,1.9,2.2,24.3
D'Angelo Russell,29,DAL,PG,25,3,19,3.6,8.9,0.405,1.3,4.4,0.3,2.3,4.5,0.509,0.48,1.7,2.4,0.717,0.3,2,2.4,4,0.5,0.1,1.9,1.2,10.2
Ben Saraf,19,BRK,SG,12,5,16.9,1.8,5.2,0.355,0.8,2.8,0.273,1.1,2.4,0.448,0.427,1,1.3,0.8,0.4,1.2,1.6,2.8,0.7,0.3,1.9,1.3,5.4
Marcus Smart,31,LAL,SG,26,19,28.3,3.1,7.8,0.399,1.5,5.2,0.299,1.6,2.7,0.594,0.498,1.7,1.8,0.936,0.6,2.4,3,3,1.4,0.4,1.9,2.9,9.5
Derrick White,31,BOS,SG,35,35,33.9,6.3,15.9,0.396,3.2,9.5,0.336,3.1,6.4,0.484,0.496,2.6,3,0.875,0.8,3.5,4.3,5.3,1.4,1.5,1.9,1.7,18.4
Brandon Williams,26,DAL,PG,33,9,22.5,4.2,9.6,0.432,0.5,2.6,0.195,3.6,7,0.522,0.459,3,3.7,0.805,0.5,2.2,2.8,3.9,1.2,0.2,1.9,1.8,11.8
Ivica Zubac,28,LAC,C,31,30,31.6,6.6,10.8,0.609,0,0,,6.6,10.8,0.609,0.609,2.1,2.8,0.739,3.6,7.4,11,2.5,0.4,1,1.9,2.5,15.3
